Entity ID,Friendly Name,State,Unit,Device Class,State Class,Icon,Last Updated,Last Changed,Domain,Integration,Restored,Supported Features
sensor.sun_next_dusk,Sun Next dusk,2025-09-01T16:18:23+00:00,N/A,timestamp,N/A,N/A,2025-09-01T09:38:55.092961+00:00,2025-09-01T09:38:55.092961+00:00,sensor,N/A,False,N/A
sensor.sun_next_midnight,Sun Next midnight,2025-09-01T22:06:40+00:00,N/A,timestamp,N/A,N/A,2025-09-01T09:38:55.093568+00:00,2025-09-01T09:38:55.093568+00:00,sensor,N/A,False,N/A
sensor.sun_next_noon,Sun Next noon,2025-09-02T10:06:47+00:00,N/A,timestamp,N/A,N/A,2025-09-01T10:07:06.019442+00:00,2025-09-01T10:07:06.019442+00:00,sensor,N/A,False,N/A
sensor.sun_next_rising,Sun Next rising,2025-09-02T04:18:27+00:00,N/A,timestamp,N/A,N/A,2025-09-01T09:38:55.094700+00:00,2025-09-01T09:38:55.094700+00:00,sensor,N/A,False,N/A
sensor.sun_next_setting,Sun Next setting,2025-09-01T15:54:47+00:00,N/A,timestamp,N/A,N/A,2025-09-01T09:38:55.095268+00:00,2025-09-01T09:38:55.095268+00:00,sensor,N/A,False,N/A
sensor.sun_solar_elevation,Sun Solar elevation,52.26,°,N/A,measurement,N/A,2025-09-01T11:15:06.045293+00:00,2025-09-01T11:15:06.045293+00:00,sensor,N/A,False,N/A
sensor.sun_solar_azimuth,Sun Solar azimuth,331.73,°,N/A,measurement,N/A,2025-09-01T11:15:06.045485+00:00,2025-09-01T11:15:06.045485+00:00,sensor,N/A,False,N/A
sensor.sun_solar_rising,Sun Solar rising,False,N/A,N/A,N/A,N/A,2025-09-01T10:07:06.020397+00:00,2025-09-01T10:07:06.020397+00:00,sensor,N/A,False,N/A
sensor.archer_d2_data_received_2,Archer_D2 Data received,unavailable,B,data_size,total_increasing,N/A,2025-09-01T11:16:36.016963+00:00,2025-09-01T11:16:36.016963+00:00,sensor,N/A,False,N/A
sensor.archer_d2_data_sent_2,Archer_D2 Data sent,unavailable,B,data_size,total_increasing,N/A,2025-09-01T11:16:36.017517+00:00,2025-09-01T11:16:36.017517+00:00,sensor,N/A,False,N/A
sensor.archer_d2_packets_received_2,Archer_D2 Packets received,unavailable,packets,N/A,total_increasing,N/A,2025-09-01T11:16:36.017902+00:00,2025-09-01T11:16:36.017902+00:00,sensor,N/A,False,N/A
